Tiempo (s),PWM (con signo),Posición (grados),Velocidad (grados/s),Vel_Estimada (grados/s)
68.41,500,1530,300.0,0.0
68.42,500,1533,300.0,0.0
68.43,500,1536,300.0,0.0
68.44,500,1539,300.0,0.0
68.45,500,1542,300.0,0.0
68.46,500,1545,300.0,0.0
68.47,500,1548,300.0,0.0
68.48,500,1551,300.0,0.0
68.49,500,1554,300.0,0.0
68.5,500,1557,300.0,0.0
68.51,500,1560,300.0,0.0
68.52,500,1562,200.0,0.0
68.53,500,1565,300.0,0.0
68.54,500,1568,300.0,0.0
68.55,500,1571,300.0,0.0
68.56,500,1574,300.0,0.0
68.57,500,1577,300.0,0.0
68.58,500,1580,300.0,0.0
68.59,500,1583,300.0,0.0
68.6,500,1586,300.0,0.0
68.61,500,1589,300.0,0.0
68.62,500,1592,300.0,0.0
68.63,500,1595,300.0,0.0
68.64,500,1598,300.0,0.0
68.65,500,1600,200.0,0.0
68.66,500,1603,300.0,0.0
68.67,500,1606,300.0,0.0
68.68,500,1609,300.0,0.0
68.69,500,1612,300.0,0.0
68.7,500,1615,300.0,0.0
68.71,500,1618,300.0,0.0
68.72,500,1621,300.0,0.0
68.73,500,1624,300.0,0.0
68.74,500,1627,300.0,0.0
68.75,500,1630,300.0,0.0
68.76,500,1633,300.0,0.0
68.77,500,1636,300.0,0.0
68.78,500,1639,300.0,0.0
68.79,500,1641,200.0,0.0
68.8,500,1644,300.0,0.0
68.81,500,1647,300.0,0.0
68.82,500,1650,300.0,0.0
68.83,500,1653,300.0,0.0
68.84,500,1656,300.0,0.0
68.85,500,1659,300.0,0.0
68.86,500,1662,300.0,0.0
68.87,500,1665,300.0,0.0
68.88,500,1668,300.0,0.0
68.89,500,1671,300.0,0.0
68.9,500,1674,300.0,0.0
68.91,500,1676,200.0,0.0
68.92,500,1679,300.0,0.0
68.93,500,1682,300.0,0.0
68.94,500,1685,300.0,0.0
68.95,500,1688,300.0,0.0
68.96,500,1691,300.0,0.0
68.97,500,1694,300.0,0.0
68.98,500,1697,300.0,0.0
68.99,500,1700,300.0,0.0
69.0,500,1703,300.0,0.0
69.01,500,1706,300.0,0.0
69.02,500,1709,300.0,0.0
69.03,500,1712,300.0,0.0
69.04,500,1714,200.0,0.0
69.05,500,1717,300.0,0.0
69.06,500,1720,300.0,0.0
69.07,500,1723,300.0,0.0
69.08,500,1726,300.0,0.0
69.09,500,1729,300.0,0.0
69.1,500,1732,300.0,0.0
69.11,500,1735,300.0,0.0
69.12,500,1738,300.0,0.0
69.13,500,1741,300.0,0.0
69.14,500,1744,300.0,0.0
69.15,500,1747,300.0,0.0
69.16,500,1750,300.0,0.0
69.17,500,1753,300.0,0.0
69.18,500,1755,200.0,0.0
69.19,500,1758,300.0,0.0
69.2,500,1761,300.0,0.0
69.21,500,1764,300.0,0.0
69.22,500,1767,300.0,0.0
69.23,500,1770,300.0,0.0
69.24,500,1773,300.0,0.0
69.25,500,1776,300.0,0.0
69.26,500,1779,300.0,0.0
69.27,500,1782,300.0,0.0
69.28,500,1785,300.0,0.0
69.29,500,1788,300.0,0.0
69.3,500,1790,200.0,0.0
69.31,500,1793,300.0,0.0
69.32,500,1796,300.0,0.0
69.33,500,1799,300.0,0.0
69.34,500,1802,300.0,0.0
69.35,500,1805,300.0,0.0
69.36,500,1808,300.0,0.0
69.37,500,1811,300.0,0.0
69.38,500,1814,300.0,0.0
69.39,500,1817,300.0,0.0
69.4,500,1820,300.0,0.0
69.41,500,1823,300.0,0.0
69.42,500,1826,300.0,0.0
69.43,500,1828,200.0,0.0
69.44,500,1831,300.0,0.0
69.45,500,1834,300.0,0.0
69.46,500,1837,300.0,0.0
69.47,500,1840,300.0,0.0
69.48,500,1843,300.0,0.0
69.49,500,1846,300.0,0.0
69.5,500,1849,300.0,0.0
69.51,500,1852,300.0,0.0
69.52,500,1855,300.0,0.0
69.53,500,1858,300.0,0.0
69.54,500,1861,300.0,0.0
69.55,500,1864,300.0,0.0
69.56,500,1867,300.0,0.0
69.57,500,1869,200.0,0.0
69.58,500,1872,300.0,0.0
69.59,500,1875,300.0,0.0
69.6,500,1878,300.0,0.0
69.61,500,1881,300.0,0.0
69.62,500,1884,300.0,0.0
69.63,500,1887,300.0,0.0
69.64,500,1890,300.0,0.0
69.65,500,1893,300.0,0.0
69.66,500,1896,300.0,0.0
69.67,500,1899,300.0,0.0
69.68,500,1902,300.0,0.0
69.69,500,1905,300.0,0.0
69.7,500,1907,200.0,0.0
69.71,500,1910,300.0,0.0
69.72,500,1913,300.0,0.0
69.73,500,1916,300.0,0.0
69.74,500,1919,300.0,0.0
69.75,500,1922,300.0,0.0
69.76,500,1925,300.0,0.0
69.77,500,1928,300.0,0.0
69.78,500,1931,300.0,0.0
69.79,500,1934,300.0,0.0
69.8,500,1937,300.0,0.0
69.81,500,1940,300.0,0.0
69.82,500,1943,300.0,0.0
69.83,500,1945,200.0,0.0
69.84,500,1948,300.0,0.0
69.85,500,1951,300.0,0.0
69.86,500,1954,300.0,0.0
69.87,500,1957,300.0,0.0
69.88,500,1960,300.0,0.0
69.89,500,1963,300.0,0.0
69.9,500,1966,300.0,0.0
69.91,500,1969,300.0,0.0
69.92,500,1972,300.0,0.0
69.93,500,1975,300.0,0.0
69.94,500,1978,300.0,0.0
69.95,500,1981,300.0,0.0
69.96,500,1983,200.0,0.0
69.97,500,1986,300.0,0.0
69.98,500,1989,300.0,0.0
69.99,500,1992,300.0,0.0
70.0,500,1995,300.0,0.0
70.01,500,1998,300.0,0.0
70.02,500,2001,300.0,0.0
70.03,500,2004,300.0,0.0
70.04,500,2007,300.0,0.0
70.05,500,2010,300.0,0.0
70.06,500,2013,300.0,0.0
70.07,500,2016,300.0,0.0
70.08,500,2019,300.0,0.0
70.09,500,2022,300.0,0.0
70.1,500,2024,200.0,0.0
70.11,500,2027,300.0,0.0
70.12,500,2030,300.0,0.0
70.13,500,2033,300.0,0.0
70.14,500,2036,300.0,0.0
70.15,500,2039,300.0,0.0
70.16,500,2042,300.0,0.0
70.17,500,2045,300.0,0.0
70.18,500,2048,300.0,0.0
70.19,500,2051,300.0,0.0
70.2,500,2054,300.0,0.0
70.21,500,2057,300.0,0.0
70.22,500,2059,200.0,0.0
70.23,500,2062,300.0,0.0
70.24,500,2065,300.0,0.0
70.25,500,2068,300.0,0.0
70.26,500,2071,300.0,0.0
70.27,500,2074,300.0,0.0
70.28,500,2077,300.0,0.0
70.29,500,2080,300.0,0.0
70.3,500,2083,300.0,0.0
70.31,500,2086,300.0,0.0
70.32,500,2089,300.0,0.0
70.33,500,2092,300.0,0.0
70.34,500,2095,300.0,0.0
70.35,500,2098,300.0,0.0
70.36,500,2101,300.0,0.0
70.37,500,2103,200.0,0.0
70.38,500,2106,300.0,0.0
70.39,500,2109,300.0,0.0
70.4,500,2112,300.0,0.0
70.41,500,2115,300.0,0.0
70.42,500,2118,300.0,0.0
70.43,500,2121,300.0,0.0
70.44,500,2124,300.0,0.0
70.45,500,2127,300.0,0.0
70.46,500,2130,300.0,0.0
